Time,Location,Notes,Study Materials
11/25/23,UCSD,Holiday: Thanks Giving!,"DSC 40B Midterm 2 Review (200m), Training (60m), Photo select (120m)"
11/26/23,UCSD,Holiday: Thanks Giving!,"DSC 40B HW 08 (70m), Picture Selection (20m), Running Notes (10m), Ex - Phys Review and Notes Summary (40m), Math 180A Notes + HW (50m), Training (60m), Math 180A Notes + Review (30m)"
11/27/23,UCSD,N/A,"DSC 40B Review (60m), Math 180A HW check (30m), Cogs 107A HW check (20m), Math 180A HW + Review (30m), Cogs 14B Notes (10m), Math 180A HW + Notes Review (45m), DSC 40B HW Check (30m), DSC 40B Lab/HW Recheck (30m), DSC 40B Lab + HW (20m), Training (60m)"
11/28/23,UCSD,N/A,"Reflection (30m), DSC 40B Review (150m), DSC 40B Review (60m), Math 180A Discussion (60m), Training (60m), Cogs 153 Reading Quiz (60m), Cogs 107A Notes (15m)"
11/29/23,UCSD,N/A,"Training (120m), Cogs 107A Notes (15m), Math 180A Notes (20m), DSC 40B Review (45m), DSC 40B Review (60m), Emergency Respond Training (190m)"
11/30/23,UCSD,DSC 40B Midterm 2,"Math 180A Review  (110m), DSC 40B Review + Notes (45m), FMP Research (60m), Ex - Phys Quiz (10m), TNT Project Proposal (120m), Finishes Ex - Phys Lecture (200m)"
12/1/23,UCSD,N/A,"Ex - Phys Quiz (10m), Math 180A HW (45m), Cogs 14B Notes (10m), Math 180A HW (45m), CPR Training (160m), Training (60m), Cogs 153 Project P4 (15m), Cogs 153 Lecture (15m), Cogs 153 final Project (15m), Cogs 153 Final Project (30m), FMP Proposal (15m)"
12/2/23,UCSD,N/A,"Math 180A Review (150m), Training (60m), Math 180A Review (150m), Cogs 14B Quiz (40m), Exercise Physiology (45m)"
12/3/23,UCSD,N/A,"Ex Phys Review (45m), Cogs 14B Review (60m), Discussion with Evan (80m), Cogs 153 Final Project (60m), Cogs 14B Review (60m), Math 180A Review (20m), DSC 40B Review (20m), Ex Phys Extension (20m), Cogs 107A LOD Check (20m), Triathlon Gear Check (60m)"
12/4/23,UCSD,N/A,"Organize (20m), Cogs 107A Notes (20m), Math 180A Notes (30m), FMP Meeting (60m), DSC Seminar (60m), Math 180A Review (60m), Cogs 153 Proposal Fix (20m)., Training (80m), Cogs 153 Reading (30m), Ex - Physiology Periodization Review (25m)"
12/5/23,UCSD,N/A,"Math 180A Review (90m), DSc 40B Review (30m), DSC 40B Review (30m), Personal Research Find (60m), Math 180A Discussion (60m), Math 180A Review Notes (30m), Training (70m), Cogs 153 (20m), DSC 40B Lab 9 (20m), DSC 40B HW09 (20m)"
12/6/23,UCSD,Cogs 107A Midterm 3,"Training (120m), Class check (60m), Math 180A HW (20m), DSC 40B Code (150m), Math 180A Review (60m), Cogs 107A review + midterm (60m), Ex - Phys Review (60m), DSC 40B Code (60m)"
12/7/23,UCSD,N/A,"Ex - Phys Final (90m), Math 180A Check (30m), DSC 40B Lab & HW check (120m), Math 180A Review (150m), DSC40B Code (60m), Cogs 14B Review (15m)"
12/8/23,UCSD,Fall 2023 Quarter End of Instruction Day,"Math 180A Review (90m),  Personal Project + email send (90m), Cogs 153 Final Paper (135m), Training (60m)"
12/9/23,UCSD,Math 180A Final,"Math 180A Review (60m), FMP code (120m), FMP ANOVA Testing (30m), Math 180A Review (35m), FMP code (30m), Reading (20m), Math 180A Final Exam (180m)"
12/10/23,UCSD,N/A,"Cogs14B Review (30m), DSC 40B Review (135m), DSC 40B Practice (60m), Cogs 14B Review (90m), DSC 40B Review (30m), Training (60m), DSC 40B Coding (90m), DSC 40B Review (20m)"
12/11/23,UCSD,Cogs 14B Final,"DSC 40B Review  (100m), Cogs 14B Final (153m)， Bike Training (3h), DSC 40B Review (120m), DSC 40B Review (15m), DSC 40B Code (30m)"
12/12/23,UCSD,N/A,"FMP  Research (90m), DSC40B Code (50m), Personal Project (90m), Training (80m), DSC 40B Code (70m)"
12/13/23,UCSD,N/A,"Ex -Phys  (45m), DSC40B OH (120m), NeuroAI Papers (180m), DSC 40B Review (80m), Training (80m), NeuroAI (50m), Trip Planning (120m)"
12/14/23,UCSD,N/A,"ML Understanding (45m), DSC 40B Review (90m), NeuroAI (30m), NeuroAI (60m), FMP (20m), FMP Code (30m), FMP Code (90m), DSC 40B Review (45m), NeuroAI (30m), FMP Fix Git (30m)"
12/15/23,UCSD,DSC 40B Final & Salk Interview,"Salk Interview (90m), DSC 40B Final Exam (180m), Notes (150m), Training (60m), Backup Cheat Sheet (60m)"
12/16/23,UCSD,Holiday,"Organize Notes (60m), House Work (90m), Sort Files (30m), Training (70m)"
12/17/23,UCSD,Holiday,"Trip Booking (120m), FMP Proposal (30m), Training Perspective + Training (120m)"
12/18/23,UCSD,Holiday,"Housework + Planning (180m), Training (120m)"
12/19/23,UCSD,Holiday,"Planning (180m), RL (230m), Training (70m)"
12/20/23,UCSD,Holiday,RL (250m)
