Time,Location,Notes,Study Materials
7/26/24,Salk,Salk,"Cogs 180 final project, making q agent class + producing preliminaries plot (90m), Cogs 180 final project added exploration strategy (60m), VNL training memory allocation + merge (30m), VNL training + figuring out next step + encoder decoder implementation (180m), salk lecture series (60m), training (120m), cogs 180 final project analysis + natural reward support + heatmap plot (120m)"
7/27/24,SD,SD,"Cogs 180 final  project analysis + find boltzmann exploration strategy + produce main figures (180m), try to start writing it (70m)"
7/28/24,SD,SD,"Cogs 180 final project manuscript writing to results (200m), manuscript writing to finish first draft + figures (200m), weight perturbation code + understadning (90m), training (90m), cogs 180 final project manuscript check (30m) understanding weight perturbation (30m), Check imitattion rendering (40m), weight perturbation check (15m)"
7/29/24,Salk,Salk,"Make intention working + pick clips + change clips for training (120m), mentor workshop (120m), distributed training + rendering check (30m), weight perturbation and starting with teacher student model setup (200m), training (90m), Cogs 180 lecture (30m), Final project presentation ppt (90m)"
7/30/24,Salk,Salk,"Meet Charles + single clip setup (60m), lab meeting and physics (180m), Single clip setup + modification (90m),implementing continual learning setting (120m), Cogs 180 lecture (60m), continual learning fix bugs (60m)"
7/31/24,Salk,Salk,"MPO Discussion (60m), walk and talk (30m), IDP setup (180m), IMPALA Framework Understanding (90m), Cogs 180 Presentation (120m), training (90m), CL (60m)"
8/1/24,Salk,Authur's Birthday,"Website refresh (120m), VNL (60m), meet talmo (60m), change training loop + notes + brainstorm about project (180m)"
8/2/24,Salk,Salk,"VNL code  adaptation to different imitation environment + salk fest (180m), Cogs 180 reflections (120m), VNL extension application (150m), VNL debug (60m), Training (90m), website development (60m)"
8/3/24,SD,SD,"Clean up (180m), vnl extension (120m), submit scholarship application (120m)"
8/4/24,SD,SD,"Clean up (60m), notes on POMDP (60m), Cogs 180 Submit (30m)"
8/5/24,Salk,Salk,"Course survey (50m), paper reading + project proposal (190m), chatting with Jason about physics representtaion (90m), project proposal + VNL fix humanoid env + reading paper (120), website add profile (30m), training (90m), website and profile (60m), clean (120m)"
8/6/24,Salk,Finishing summer internship,"check training + lab photos + lab meeting (150m), intern pictures + training models discussion (270m), clean (90m), organize (60m), message to Talmo and VNL update (30m), Abstract representtaion reading (45m), finding all form of intelligence PPT (150m)"
