Time,Location,Notes,Study Materials
4/28/23,UCLA,with yuer,"DOC research log 2 (90m), Linear Algebra + C++ (180m)"
4/29/23,UCLA,with yuer,"Math 20e lecture + notes (70m), dsc30 pa4 (120m), Hackathon + reflection + coffee (150m), reflection + ____ (120m)"
4/30/23,Santa Monica,with yuer,"Being Chill + Thinking development (300m), dsc 30 pa4 (180m)"
5/1/23,UCSD,N/A,"Thinking and reflection (20m), dsc20pa4 (100m), dsc 30 pa4 code check (20m), reflection and update thinking (45m), dsc30pa4 debugging and realizing that it's temp that didn't update (90m), pa4 debug + test fix (90m)"
5/2/23,UCSD,N/A,"Reading (60m), DSC30pa 5 starting + note from previous pa + understanding and notes (120m), understanding node (35m), basic doubly-linked list (40m), zybook doubly linked list characteristics (35m), cogs 17 hw and notes (70m), cogs 17 hw and notes (90m)"
5/3/23,UCSD,N/A,"Reading + learning documenting (60m), dsc 30 pa05 (270m), math 20e lecture + hw + notes (150m) + dsc30pa5 (90m), "
5/4/23,UCSD,N/A,"Learning model + self reflection (90m) , math 20e hw + revison + notes (60m), doc3 research + reflection + math 20e note (120m), Cogs 17 note (50m), DSC30 OH (20m), dsc30 pa5 implementation + understanding and note + more (130m) - very highly efficient, doc 3 research (40m)"
5/5/23,UCSD,helment important,"Milk studying (60m), DOC research (35m), dsc30 note + understanding of collection interface (30m), understanding reflection and cleanup (60m)"
5/6/23,UTC,N/A,"my education reflection (60m), math 20e note (20m) math 20e test (60m), dsc30pa5 (120m), reading and research (170m)"
5/7/23,Blue Bottle,N/A,"Food Science (40m), dsc30 zybook (35m),dsc30 pa5 debug (40m), ec (40m), figuring out ec and notes (35m), reading (110m), build AIP profile (30m), reflection (20m), dsc30pa5 check + report (100m)"
5/8/23,UCSD,N/A,"email and updates (40m), URH research (60m), cover letter writing (60m), dsc30pa5 update (80m), math 20e notes (10m), reflection + food history (60m)"
5/9/23,UCSD,N/A,"Update and get ready(60m), research (40m), internet get (30m), conference for talking (60m), email and sdge and house check (180m), cogs 17 notes + test (100m), housing experience writing (20m), DOC3 Portfolio 3 part 2 writing (30m)"
5/10/23,UTC,Very enjoable coding,"research research (40m), research research (80m), dsc30pa6 start (45m), math20e note (10m), cogs 14a test (45m), dsc30pa6 (120m), dsc30pa6 + note and understanding (210m), Research about Prof. Tye's lab (100m)"
5/11/23,UCSD,Really fun coding,"Send research email (20m), dsc30pa6 throws junit (20m), dsc30pa6 search engine (140m), doc3 research log 3 finish (60m), Prof Tye TED video (45m), DOC3 research skeleto (45m), Reflection(20m), Cogs 17 notes(100m) "
5/12/23,UCSD,N/A,"dsc30pa6 updates (90m), Math 20E review and hw and understanding (120m), Reflecting and knowledge (30m), Math 20E note (10m), exercise note (15m), food and coffee (15m)"
5/13/23,UTC,With yuer,"Discussion with yuer very chill (120m), DSC30pa6 check and turn in (20m), Math 20E Exam (60m), Cogs review (60m), Reading (60m), Cogs review (20m), Reading (20m), DSC30 zybook heap (40m)"
5/14/23,UTC,reading and discover new fun area of study,"Reading Sensitive People (70m), CBN research (120m),  reading sensitive people (260m) "
5/15/23,UCSD,N/A,"Reflection (30m), CBN planning (20m), CBN planning & cogs advising (20m), DOC 3 Research (60m), DOC 3 Research (180m), dsc30 zybook (20m), parsimony & look at myself (90m)"
5/16/23,UCSD/UTC,N/A,"Manual trace heap dsc30 pa7 (90m), dsc30 pa7 dheap building (60m), reading mind wondering (120m), math20e notes (10m), Cogs 17 notes + test (90m), DSC30 Midterm2 Review(30m), Math 20E note (10m), Cogs 17 review (10m) "
5/17/23,UCSD/UTC,Really hardcore and fun coding,"Understanding study (10m), Math20E parametrization review (30m), DSC30 note (50m), Neural science talk + notes (110m), Math 20e Note (20m), DSC30pa7 code + debug trickle down function (7.5hours, 450m) "
5/18/23,UCSD/UTC,Debugger super great,"dsc30pa7 add in minheap and fix leaf node swap (45m), more testing (15m), dsc30 m2 review (60m), finish priority queue, testing for heap, and starts on knn (120m), Cogs 17 review (45m), cogs 17 midterm 2 (90m), cogs 17 notes (20m), dsc30 test review + the coding progress writing (60m)"
5/19/23,UCSD,Discussion and reflect,"Sleep study (60m), Math mind map connections (90m), DSC30pa7 fix (60m), math 20e notes (30m), doc3 research essay (150m), discussion with yuer and then further leading to discussion with parents (150m)"
5/20/23,La Jolla,N/A,"Doc3 research essay (90m), reading (60m), Chocolate study (30m), Math 20E Test (90m), Math 20E notes (30m)"
5/21/23,La Jolla,N/A,"Understanding food more (30m), DOC3 research (20m), dsc30 hash table reading (135m), developing brain data flow (120m)"
5/22/23,UCSD,N/A,"Building Brain data flow (60m), dsc note sort (30m), building knowledge of evolved brain (10m), Job search conference (40m), dsc30 pa7 fix (60m), math 20e note (20m), reading about evolved brain and concluding (40m), reading (60m)"
5/23/23,UCSD,Study with Cecillia is quite nice,"understanding, embracement, reading about cortex firing (louder than words), and taking care of other small things in life (90m),  200m solid revising and understanding of sports science and exercise (200m), 10m dsc30 pa7 debug (10m), cogs 17 note (10m), dsc30 debug (20m), reflection (30m), math20e revision + do wrong question + test review (60m), reflection + organizing (30m), exercise note + more sorting of sports science notes (30m)"
5/24/23,UCSD,N/A,"cogs 17 hw (30m), sort previous notes (30m), sort previous note (20m), dsc30 create path (10m), dsc30 note sort (10m), cogs 14a test (45m), cogs 14a notes (15m), dsc30 pa8 trace (45m), math 20e notes (20m), dsc30 pa8 establish hash table (138m), knowledge combine from winter quarter note + reflection further (60m)"
5/25/23,UCSD,math 20e midterm 2,"dsc30 pa8 stats add + debug (130m), math 20e review + more parametrization (90m), reading constructive coexistence (150m), reflection and undestanding (60m), cogs 17 notes (20m), math 20e test (90m)"
5/26/23,UCSD,with yuer,"exercise notes, dsc, math,É (400m)"
5/27/23,Little Italy,with yuer,conversation with yuer + cogs + math + ...(500m)
5/28/23,Little Italy,with yuer,conversation with yuer (500m)
5/29/23,UCSD,with yuer,"review notes, life things, update (300m)"
5/30/23,UCSD,Cecllia pretty cool,"Class arrangement (30m), Cogs 14a assignment 2 test (30m), dsc 30 hashtable implementation (45m), DOC 3 Peer review (30m), Cogs 14a check (30m), DSC 30 debug (120m), dsc 30 debug (60m), dsc 30 note (30m)"
5/31/23,UCSD,N/A,"DSC 30 readings and huffman coding (30m), Cogs 17 hw 8 (60m), dsc30 fix structure and debug (90m), dsc30 fix structure and debug (90m), generics lecture dsc 30 (60m), DSC 30 lecture (30m)_ dsc 30 debug (60m), reading metaphors we live by (60m)"
6/1/23,UCSD,N/A,"reading metaphors we live by (45m), dsc30 pa9 task ABCD (120m), dsc30 pa9 task EF + debug EF (60m), DSC30 pa7 fix (20m), math 20e hw 6 (30m), read books (30m)"
6/2/23,UCSD,N/A,"Reading (45m), Llmology (120m), Math 20e notes (30m), reading and notes chemicals in everyday (60m), dsc 30 lecture(60m)"
6/3/23,Blue Bottle,N/A,"DSC30 lecture (60m), dsc30 pa9 huffman trace (60m) dsc 30 BFS, DFS (30m), Math 20e test (90m), reading (30m), Readin (30m), DOC 3 Final Research Project (30m)"
6/4/23,Blue Bottle,N/A,"reading zero to birt (60m), dsc 30 debug + course check (90m), reading and broaden views on data science (180m), dsc30 __review(90m)"
6/5/23,UCSD,N/A,"Reading and noes (60m), dsc 30 notes (30m), dsc30 understanding & pa9 (150m), math 20c lecture + notes (60m), reading the alignment problem (90m), functional training study (15m)"
6/6/23,UCSD,Neural-communitists program,"Reflection (30m), Reading Neuralconnectionist program (80m), Reading (60m), Reading (150m), Cogs Notes (60m), skateboard notes (30m)"
6/7/23,UCSD,N/A,"Organization (30m), Cogs 14a test (30m), cogs 17 hw (60m), math 20e notes (10m), cogs 17 hw (20m), neuralconnectionists reading (20m), dsc30 debug (30m), reading (20m), doc 3 (10m), dsc30 check and review (120m), dsc 30 review (120m)"
6/8/23,UCSD,N/A,"DSC review (120m), sean discussion and notes (120m), dsc review (45m), cogs 17 notes (45m), dsc review (200m)"
6/9/23,UCSD,N/A,"Check  plans (30m), dsc 30 review session (120m), math 20e review (30m), dsc 30 review (60m), dsc 30 review session (120m), dsc 30 review session (120m)"
6/10/23,UCSD,DSC 30 Final Exam,"DSC 30 Final Exam (200m), math 20e review (30m), reflection and learning (60m)"
6/11/23,UTC,N/A,"Math  20e proof (20m), math 20e exam (70m), doc 3 essay (30m), math 20e review (60m), cogs review (60m)_ Academic Planning (30m), doc email (15m), workout note (10m)"
6/12/23,UCSD,Cogs 17 Final Exam,"Cogs 17 review + connect + overall big picture (180m), Cogs exam (180m), Cogs notes + overview (60m)"
6/13/23,UCSD,N/A,"Doc3  submission paper (15m), Math 20e review (90m), Cogs 14a review (30m), Cogs 14a review (30m), Cogs 14a review (30m), Math 20e review (20m), Research (60m)"
6/14/23,UCSD,Cogs 14a Final Exam,"Reading Philosophy of science (90m), Sean discussion and notes (150m), Cogs 14a final + notes (90m), notes from philosophy of science (20m)"
6/15/23,UCSD,N/A,"Philosophy of science (60m), Math 20e review (120m)_Organization & reflection (120m)"
6/16/23,UTC,Math 20e Final Exam,"Reflecting and email to Sean (60m), research, reading, data collectionn (90m)"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
